code,name,valumn,percent
90000,浦發銀行,230591086,0.82%
90004,白雲機場,276808207,13.37%
90006,東風汽車,1118276,0.05%
90007,中國國貿,12715286,1.26%
90008,首創股份,58022024,1.20%
90009,上海機場,330874054,30.25%
90010,包鋼股份,118470002,0.37%
90011,華能國際,23478287,0.22%
90012,皖通高速,3883439,0.33%
90015,華夏銀行,53473471,0.41%
90016,民生銀行,421608787,1.18%
90017,日照港,37328645,1.21%
90018,上港集團,46040438,0.19%
90019,寶鋼股份,667065943,3.01%
90020,中原高速,7907789,0.35%
90021,上海電力,5022975,0.23%
90023,浙能電力,34186106,0.25%
90025,華能水電,5540900,0.30%
90026,中遠海能,4548674,0.16%
90027,華電國際,29587616,0.43%
90028,中國石化,783921915,0.82%
90029,南方航空,53998890,0.76%
90030,中信證券,176981529,1.80%
90031,三一重工,234284360,3.04%
90033,福建高速,5717745,0.20%
90036,招商銀行,447596641,2.16%
90037,歌華有線,2791364,0.23%
90038,中直股份,4539863,0.77%
90039,四川路橋,7408200,0.24%
90048,保利地產,165263215,1.40%
90050,中國聯通,165221472,0.77%
90053,九鼎投資,597483,0.13%
90054,黃山旅遊,2869313,0.55%
90056,中國醫藥,5718547,0.56%
90058,五礦發展,134647,0.01%
90059,古越龍山,623048,0.07%
90060,海信電器,8813298,0.67%
90061,國投資本,5488045,0.14%
90062,華潤雙鶴,14970306,2.18%
90063,皖維高新,1736933,0.09%
90064,南京高科,1381708,0.11%
90066,宇通客車,311545621,16.36%
90067,冠城大通,1183183,0.07%
90068,葛洲壩,30411662,0.66%
90072,中船科技,189858,0.03%
90073,上海梅林,2663174,0.28%
90074,*ST保千,294738,0.02%
90075,新疆天業,318232,0.03%
90077,宋都股份,29170,0.00%
90078,澄星股份,7123,0.00%
90079,人福醫藥,22662576,1.76%
90080,金花股份,12642,0.00%
90081,東風科技,530063,0.16%
90085,同仁堂,5577610,0.40%
90086,東方金鈺,159992,0.01%
90088,中視傳媒,224807,0.05%
90089,特變電工,24230394,0.65%
90093,易見股份,249265,0.02%
90094,大名城,6382421,0.28%
90096,雲天化,203761,0.01%
90098,廣州發展,1233218,0.04%
90100,同方股份,14241464,0.48%
90101,明星電力,86251,0.02%
90104,上汽集團,339074245,2.94%
90105,永鼎股份,517193,0.05%
90106,重慶路橋,1534781,0.13%
90108,亞盛集團,2158048,0.11%
90109,國金證券,21956413,0.72%
90110,諾德股份,11620,0.00%
90111,北方稀土,24536268,0.67%
90112,天成控股,229309,0.04%
90113,浙江東日,74434,0.02%
90114,東睦股份,15371260,2.42%
90115,東方航空,43639333,0.44%
90116,三峽水利,2996316,0.30%
90118,中國衛星,7855319,0.66%
90119,長江投資,770117,0.25%
90120,浙江東方,136884,0.02%
90121,鄭州煤電,100,0.00%
90122,宏圖高科,4205309,0.36%
90123,蘭花科創,4980900,0.43%
90125,鐵龍物流,37594389,2.87%
90132,重慶啤酒,5699,0.00%
90135,樂凱膠片,226980,0.06%
90138,中青旅,37844662,5.22%
90141,興發集團,6529315,1.08%
90143,金發科技,4576520,0.17%
90150,*ST船舶,957827,0.06%
90153,建發股份,25868985,0.91%
90155,華創陽安,1828827,0.16%
90157,永泰能源,14056276,0.11%
90158,中體產業,3231550,0.49%
90160,巨化股份,5274071,0.19%
90161,天壇生物,1243839,0.14%
90162,香江控股,6754539,0.28%
90166,福田汽車,6062248,0.09%
90167,聯美控股,241771,0.02%
90168,武漢控股,403337,0.05%
90169,太原重工,2648945,0.10%
90170,上海建工,18327923,0.21%
90171,上海貝嶺,1160321,0.17%
90172,黃河旋風,6268682,0.53%
90173,臥龍地產,899584,0.12%
90175,美都能源,26134845,1.06%
90176,中國巨石,182917462,5.22%
90177,雅戈爾,32194053,0.89%
90180,瑞茂通,3289472,0.32%
90183,生益科技,24743983,1.16%
90185,格力地產,6571119,0.31%
90188,兗州煤業,8606795,0.29%
90190,錦州港,1217224,0.06%
90195,中牧股份,629021,0.10%
90196,復星醫藥,25885813,1.35%
90197,伊力特,1403640,0.31%
90200,江蘇吳中,1941070,0.27%
90201,生物股份,28435911,2.50%
90206,有研新材,1928333,0.22%
90208,新湖中寶,38149230,0.44%
90210,紫江企業,2986614,0.19%
90216,浙江醫藥,18574666,1.96%
90218,全柴動力,101,0.00%
90219,南山鋁業,89306659,1.25%
90221,海航控股,17229649,0.10%
90226,瀚葉股份,1009459,0.05%
90230,滄州大化,164203,0.03%
90231,凌鋼股份,355076,0.02%
90233,圓通速遞,2471186,0.31%
90236,桂冠電力,15167713,0.42%
90238,*ST椰島,1600,0.00%
90239,雲南城投,2950351,0.18%
90240,華業資本,4197260,0.29%
90246,萬通地產,3300,0.00%
90248,延長化建,4471,0.00%
90251,冠農股份,906141,0.11%
90252,中恆集團,5758958,0.16%
90255,夢舟股份,4513883,0.25%
90256,廣彙能源,3642979,0.05%
90257,大湖股份,345607,0.08%
90258,首旅酒店,65217737,10.44%
90259,廣晟有色,309606,0.11%
90260,凱樂科技,4029451,0.64%
90261,陽光照明,2637524,0.18%
90266,北京城建,6751510,0.43%
90267,海正藥業,2778280,0.28%
90268,國電南自,62301,0.00%
90269,贛粵高速,11331455,0.48%
90270,外運發展,5996425,0.66%
90271,航天信息,16841636,0.91%
90273,嘉化能源,25759178,1.75%
90276,恆瑞醫藥,532821627,14.55%
90277,億利潔能,5027177,0.18%
90278,東方創業,193422,0.03%
90280,中央商場,1116806,0.09%
90282,南鋼股份,79331,0.00%
90284,浦東建設,10025624,1.03%
90285,羚銳製藥,3126684,0.58%
90289,*ST信通,119471,0.02%
90290,華儀電氣,293737,0.05%
