code,name,valumn,percent
90000,浦發銀行,228962213,0.81%
90004,白雲機場,277539202,13.41%
90006,東風汽車,1056372,0.05%
90007,中國國貿,12766586,1.26%
90008,首創股份,57941524,1.20%
90009,上海機場,329657659,30.14%
90010,包鋼股份,118330002,0.37%
90011,華能國際,24466632,0.23%
90012,皖通高速,3314339,0.28%
90015,華夏銀行,52960571,0.41%
90016,民生銀行,423063554,1.19%
90017,日照港,37328645,1.21%
90018,上港集團,47323891,0.20%
90019,寶鋼股份,667860279,3.02%
90020,中原高速,7569789,0.33%
90021,上海電力,5010075,0.23%
90023,浙能電力,34425071,0.25%
90025,華能水電,5232300,0.29%
90026,中遠海能,4288574,0.15%
90027,華電國際,28340058,0.41%
90028,中國石化,778855440,0.81%
90029,南方航空,56775667,0.80%
90030,中信證券,179026768,1.82%
90031,三一重工,233380655,3.03%
90033,福建高速,5717745,0.20%
90036,招商銀行,446991151,2.16%
90037,歌華有線,2791364,0.23%
90038,中直股份,4324059,0.73%
90039,四川路橋,8148000,0.26%
90048,保利地產,163534934,1.39%
90050,中國聯通,164551474,0.77%
90053,九鼎投資,502823,0.11%
90054,黃山旅遊,2869286,0.55%
90056,中國醫藥,5905129,0.58%
90058,五礦發展,134647,0.01%
90059,古越龍山,623048,0.07%
90060,海信電器,9185437,0.70%
90061,國投資本,5801113,0.15%
90062,華潤雙鶴,15060817,2.19%
90063,皖維高新,1736933,0.09%
90064,南京高科,1381708,0.11%
90066,宇通客車,309851888,16.27%
90067,冠城大通,1183183,0.07%
90068,葛洲壩,30428057,0.66%
90072,中船科技,253858,0.04%
90073,上海梅林,3066900,0.32%
90074,*ST保千,294738,0.02%
90075,新疆天業,460932,0.05%
90077,宋都股份,29170,0.00%
90078,澄星股份,7123,0.00%
90079,人福醫藥,23045524,1.79%
90080,金花股份,12642,0.00%
90081,東風科技,530063,0.16%
90085,同仁堂,5579959,0.40%
90086,東方金鈺,159992,0.01%
90088,中視傳媒,224807,0.05%
90089,特變電工,24321237,0.65%
90093,易見股份,241965,0.02%
90094,大名城,6369721,0.27%
90096,雲天化,203761,0.01%
90098,廣州發展,1233223,0.04%
90100,同方股份,14188864,0.47%
90101,明星電力,86251,0.02%
90104,上汽集團,342251860,2.97%
90105,永鼎股份,474223,0.04%
90106,重慶路橋,1534781,0.13%
90108,亞盛集團,2158048,0.11%
90109,國金證券,21954313,0.72%
90110,諾德股份,11620,0.00%
90111,北方稀土,24742868,0.68%
90112,天成控股,229309,0.04%
90113,浙江東日,74434,0.02%
90114,東睦股份,15325008,2.41%
90115,東方航空,43830733,0.44%
90116,三峽水利,2904716,0.29%
90118,中國衛星,7828329,0.66%
90119,長江投資,770117,0.25%
90120,浙江東方,136884,0.02%
90121,鄭州煤電,100,0.00%
90122,宏圖高科,4205309,0.36%
90123,蘭花科創,4545100,0.39%
90125,鐵龍物流,37933089,2.90%
90132,重慶啤酒,5699,0.00%
90135,樂凱膠片,226980,0.06%
90138,中青旅,37784242,5.21%
90141,興發集團,6489282,1.07%
90143,金發科技,4508120,0.17%
90150,*ST船舶,957827,0.06%
90153,建發股份,26047948,0.91%
90155,華創陽安,1883727,0.16%
90157,永泰能源,14056276,0.11%
90158,中體產業,3187550,0.48%
90160,巨化股份,5274071,0.19%
90161,天壇生物,1330548,0.15%
90162,香江控股,6426039,0.27%
90166,福田汽車,6885248,0.10%
90167,聯美控股,249146,0.03%
90168,武漢控股,403337,0.05%
90169,太原重工,2649945,0.10%
90170,上海建工,18340423,0.21%
90171,上海貝嶺,1208729,0.17%
90172,黃河旋風,6250882,0.53%
90173,臥龍地產,899584,0.12%
90175,美都能源,26134845,1.06%
90176,中國巨石,198217215,5.65%
90177,雅戈爾,32148489,0.89%
90180,瑞茂通,3243572,0.31%
90183,生益科技,24838369,1.17%
90185,格力地產,6515739,0.31%
90188,兗州煤業,8902695,0.30%
90190,錦州港,1217224,0.06%
90195,中牧股份,629021,0.10%
90196,復星醫藥,24913025,1.30%
90197,伊力特,1477740,0.33%
90200,江蘇吳中,2018270,0.28%
90201,生物股份,28981391,2.54%
90206,有研新材,1772833,0.21%
90208,新湖中寶,38815408,0.45%
90210,紫江企業,2641014,0.17%
90216,浙江醫藥,18806067,1.98%
90218,全柴動力,101,0.00%
90219,南山鋁業,87709259,1.23%
90221,海航控股,17229649,0.10%
90226,瀚葉股份,1009459,0.05%
90230,滄州大化,147943,0.03%
90231,凌鋼股份,512176,0.02%
90233,圓通速遞,2403186,0.30%
90236,桂冠電力,13889932,0.38%
90238,*ST椰島,1600,0.00%
90239,雲南城投,3123451,0.19%
90240,華業資本,4244760,0.29%
90246,萬通地產,3300,0.00%
90248,延長化建,4471,0.00%
90251,冠農股份,906141,0.11%
90252,中恆集團,5725858,0.16%
90255,夢舟股份,4535883,0.25%
90256,廣彙能源,3642979,0.05%
90257,大湖股份,345607,0.08%
90258,首旅酒店,63662754,10.19%
90259,廣晟有色,309606,0.11%
90260,凱樂科技,3993966,0.63%
90261,陽光照明,2660424,0.18%
90266,北京城建,6748110,0.43%
90267,海正藥業,2778280,0.28%
90268,國電南自,62301,0.00%
90269,贛粵高速,10847455,0.46%
90270,外運發展,6005185,0.66%
90271,航天信息,17082015,0.92%
90273,嘉化能源,23733717,1.61%
90276,恆瑞醫藥,533340010,14.56%
90277,億利潔能,4811294,0.17%
90278,東方創業,193422,0.03%
90280,中央商場,1127506,0.09%
90282,南鋼股份,79331,0.00%
90284,浦東建設,10042595,1.03%
90285,羚銳製藥,3616084,0.67%
90289,*ST信通,119471,0.02%
90290,華儀電氣,293737,0.05%
90291,西水股份,2037358,0.20%
90292,遠達環保,1005605,0.12%
90295,鄂爾多斯,2117186,0.34%
90297,廣匯汽車,24595556,0.34%
90298,安琪酵母,75968017,9.21%
90299,安迪蘇,1600095,0.27%
90300,維維股份,1511400,0.09%
90305,恆順醋業,5957882,0.76%
90307,酒鋼宏興,1979808,0.03%
90309,萬華化學,45921022,1.67%
90310,桂東電力,4087711,0.49%
90312,平高電氣,1855942,0.13%
90315,上海家化,9570568,1.42%
90316,洪都航空,356978,0.04%
90317,營口港,321233,0.00%
90318,新力金融,62786,0.01%
90321,*ST正源,226801,0.01%
90323,瀚藍環境,21600501,2.81%
90325,華發股份,11670607,0.60%
90326,西藏天路,608296,0.07%
90327,大東方,1638359,0.22%
90329,中新藥業,3526256,0.62%
90332,白雲山,9332621,0.87%
90333,長春燃氣,5900,0.00%
90335,國機汽車,1018936,0.09%
90337,美克家居,1234471,0.08%
90338,西藏珠峰,493588,0.31%
90340,華夏幸福,19681802,0.66%
90343,航天動力,1512742,0.23%
90345,長江通信,837200,0.42%
90346,恆力股份,4680154,0.50%
90348,陽泉煤業,30511870,1.26%
90350,山東高速,19355433,0.40%
90351,亞寶藥業,807541,0.11%
90352,浙江龍盛,25308221,0.77%
90353,旭光股份,2000,0.00%
90362,江西銅業,7285834,0.35%
90363,聯創光電,855585,0.19%
90366,寧波韻升,3329329,0.33%
90369,西南證券,8399364,0.14%
90372,中航電子,2844249,0.16%
90373,中文傳媒,3551078,0.25%
90375,華菱星馬,308701,0.05%
90376,首開股份,4374366,0.17%
90377,寧滬高速,39053143,1.02%
90378,天科股份,2881,0.00%
90380,健康元,5669128,0.36%
90381,青海春天,1670,0.00%
90382,廣東明珠,4600,0.00%
90383,金地集團,31996393,0.70%
90386,北巴傳媒,506652,0.06%
90387,海越股份,1050426,0.27%
90388,龍淨環保,2081383,0.19%
90389,江山股份,19600,0.00%
90391,航發科技,1182774,0.35%
90392,盛和資源,166624,0.01%
90393,粵泰股份,14179439,1.43%
90395,盤江股份,4632209,0.27%
90396,金山股份,221650,0.01%
90397,*ST安煤,562483,0.05%
90398,海瀾之家,56214765,1.25%
90399,*ST撫鋼,1231708,0.10%
90400,紅豆股份,2159865,0.10%
90403,大有能源,85459,0.00%
90405,動力源,184090,0.03%
90406,國電南瑞,108871237,4.93%
90409,三友化工,4377605,0.21%
90410,華勝天成,1884697,0.17%
90415,小商品城,11573929,0.21%
90416,湘電股份,2182944,0.24%
90418,江淮汽車,1669308,0.08%
90420,現代製藥,6380847,1.10%
90422,昆藥集團,1021709,0.15%
90425,青松建化,87887,0.00%
90426,華魯恆升,11556638,0.71%
90428,中遠海特,1656172,0.09%
90433,冠豪高新,723247,0.05%
90435,北方導航,4387635,0.29%
90436,片仔？,7412005,1.22%
90438,通威股份,26909002,0.96%
90439,瑞貝卡,18468456,1.63%
90446,金證股份,3842959,0.46%
90449,寧夏建材,651839,0.13%
90452,涪陵電力,256688,0.11%
90458,時代新材,772323,0.11%
