code,name,valumn,percent
90000,浦發銀行,233019815,0.82%
90004,白雲機場,275058180,13.29%
90006,東風汽車,912776,0.04%
90007,中國國貿,12651339,1.25%
90008,首創股份,57995424,1.20%
90009,上海機場,329561053,30.13%
90010,包鋼股份,120287902,0.37%
90011,華能國際,23190087,0.22%
90012,皖通高速,3931439,0.33%
90015,華夏銀行,53353191,0.41%
90016,民生銀行,431452302,1.21%
90017,日照港,37328645,1.21%
90018,上港集團,46191193,0.19%
90019,寶鋼股份,665996824,3.01%
90020,中原高速,7786489,0.34%
90021,上海電力,5225732,0.24%
90023,浙能電力,34022957,0.25%
90025,華能水電,5636100,0.31%
90026,中遠海能,4668074,0.17%
90027,華電國際,30077940,0.44%
90028,中國石化,787486899,0.82%
90029,南方航空,55765665,0.79%
90030,中信證券,178024093,1.81%
90031,三一重工,242372963,3.14%
90033,福建高速,5717745,0.20%
90036,招商銀行,449503509,2.17%
90037,歌華有線,2791364,0.23%
90038,中直股份,4581830,0.77%
90039,四川路橋,8071900,0.26%
90048,保利地產,165836053,1.41%
90050,中國聯通,166318544,0.78%
90053,九鼎投資,633483,0.14%
90054,黃山旅遊,4038680,0.78%
90056,中國醫藥,5509491,0.54%
90058,五礦發展,134647,0.01%
90059,古越龍山,623048,0.07%
90060,海信電器,8622520,0.65%
90061,國投資本,5279695,0.14%
90062,華潤雙鶴,15103150,2.20%
90063,皖維高新,1736933,0.09%
90064,南京高科,1381708,0.11%
90066,宇通客車,313121688,16.44%
90067,冠城大通,1183183,0.07%
90068,葛洲壩,31261000,0.67%
90072,中船科技,130658,0.02%
90073,上海梅林,2425727,0.25%
90074,*ST保千,294738,0.02%
90075,新疆天業,309423,0.03%
90077,宋都股份,29170,0.00%
90078,澄星股份,7123,0.00%
90079,人福醫藥,23519442,1.82%
90080,金花股份,12642,0.00%
90081,東風科技,530063,0.16%
90085,同仁堂,5964673,0.43%
90086,東方金鈺,159992,0.01%
90088,中視傳媒,224807,0.05%
90089,特變電工,23788594,0.64%
90093,易見股份,235565,0.02%
90094,大名城,6169521,0.27%
90096,雲天化,203761,0.01%
90098,廣州發展,1203618,0.04%
90100,同方股份,14198664,0.47%
90101,明星電力,86251,0.02%
90104,上汽集團,342207665,2.97%
90105,永鼎股份,619293,0.06%
90106,重慶路橋,1534781,0.13%
90108,亞盛集團,2158048,0.11%
90109,國金證券,21900813,0.72%
90110,諾德股份,11620,0.00%
90111,北方稀土,24502168,0.67%
90112,天成控股,229309,0.04%
90113,浙江東日,74434,0.02%
90114,東睦股份,15148676,2.38%
90115,東方航空,44670886,0.45%
90116,三峽水利,3149091,0.31%
90118,中國衛星,7789965,0.65%
90119,長江投資,770117,0.25%
90120,浙江東方,136884,0.02%
90121,鄭州煤電,100,0.00%
90122,宏圖高科,4205309,0.36%
90123,蘭花科創,4971100,0.43%
90125,鐵龍物流,37194289,2.84%
90132,重慶啤酒,5699,0.00%
90135,樂凱膠片,226980,0.06%
90138,中青旅,37581381,5.19%
90141,興發集團,6797413,1.13%
90143,金發科技,4729460,0.18%
90150,*ST船舶,957827,0.06%
90153,建發股份,25398019,0.89%
90155,華創陽安,1787627,0.15%
90157,永泰能源,14056276,0.11%
90158,中體產業,3310250,0.50%
90160,巨化股份,5274071,0.19%
90161,天壇生物,1142770,0.13%
90162,香江控股,6309189,0.26%
90166,福田汽車,6515548,0.09%
90167,聯美控股,253697,0.03%
90168,武漢控股,403337,0.05%
90169,太原重工,2648945,0.10%
90170,上海建工,18311423,0.21%
90171,上海貝嶺,1145521,0.17%
90172,黃河旋風,6043022,0.51%
90173,臥龍地產,899584,0.12%
90175,美都能源,26134845,1.06%
90176,中國巨石,182728284,5.21%
90177,雅戈爾,32057541,0.89%
90180,瑞茂通,3251672,0.31%
90183,生益科技,24900881,1.17%
90185,格力地產,6174919,0.29%
90188,兗州煤業,8344106,0.28%
90190,錦州港,1217224,0.06%
90195,中牧股份,629021,0.10%
90196,復星醫藥,27462797,1.43%
90197,伊力特,1529515,0.34%
90200,江蘇吳中,1896152,0.26%
90201,生物股份,28134071,2.47%
90206,有研新材,1755033,0.20%
90208,新湖中寶,37738608,0.43%
90210,紫江企業,2614414,0.17%
90216,浙江醫藥,18659783,1.97%
90218,全柴動力,101,0.00%
90219,南山鋁業,88475396,1.24%
90221,海航控股,17217249,0.10%
90226,瀚葉股份,1009459,0.05%
90230,滄州大化,202907,0.04%
90231,凌鋼股份,117176,0.00%
90233,圓通速遞,2507340,0.32%
90236,桂冠電力,14516093,0.40%
90238,*ST椰島,1600,0.00%
90239,雲南城投,2845651,0.17%
90240,華業資本,4192298,0.29%
90246,萬通地產,3300,0.00%
90248,延長化建,4471,0.00%
90251,冠農股份,906141,0.11%
90252,中恆集團,5645258,0.16%
90255,夢舟股份,4411288,0.24%
90256,廣彙能源,3642979,0.05%
90257,大湖股份,345607,0.08%
90258,首旅酒店,67099827,10.74%
90259,廣晟有色,309606,0.11%
90260,凱樂科技,3746295,0.59%
90261,陽光照明,2590600,0.17%
90266,北京城建,6461810,0.41%
90267,海正藥業,2778280,0.28%
90268,國電南自,62301,0.00%
90269,贛粵高速,11071055,0.47%
90270,外運發展,5960525,0.65%
90271,航天信息,17077588,0.92%
90273,嘉化能源,28205478,1.92%
90276,恆瑞醫藥,534729594,14.60%
90277,億利潔能,4837381,0.18%
90278,東方創業,193422,0.03%
90280,中央商場,1036906,0.09%
90282,南鋼股份,79331,0.00%
90284,浦東建設,10098802,1.04%
90285,羚銳製藥,3090184,0.57%
90289,*ST信通,119471,0.02%
90290,華儀電氣,293737,0.05%
90291,西水股份,2042558,0.20%
90292,遠達環保,1005605,0.12%
90295,鄂爾多斯,2021232,0.33%
90297,廣匯汽車,25401430,0.35%
90298,安琪酵母,74851442,9.08%
90299,安迪蘇,1611895,0.28%
90300,維維股份,1511400,0.09%
90305,恆順醋業,4624205,0.59%
90307,酒鋼宏興,1979808,0.03%
90309,萬華化學,44710540,1.63%
90310,桂東電力,4016611,0.48%
90312,平高電氣,2253521,0.16%
90315,上海家化,9712120,1.44%
90316,洪都航空,356978,0.04%
90317,營口港,321233,0.00%
90318,新力金融,62786,0.01%
90321,*ST正源,226801,0.01%
90323,瀚藍環境,21240216,2.77%
90325,華發股份,12167219,0.63%
90326,西藏天路,578196,0.06%
90327,大東方,1638359,0.22%
90329,中新藥業,3295845,0.58%
90332,白雲山,8699557,0.81%
90333,長春燃氣,5900,0.00%
90335,國機汽車,1018936,0.09%
90337,美克家居,1115916,0.07%
90338,西藏珠峰,588888,0.37%
