code,name,valumn,percent
90000,浦發銀行,227728107,0.81%
90004,白雲機場,278550907,13.46%
90006,東風汽車,1328008,0.06%
90007,中國國貿,12821904,1.27%
90008,首創股份,57893124,1.20%
90009,上海機場,328171127,30.01%
90010,包鋼股份,117703031,0.37%
90011,華能國際,24110030,0.22%
90012,皖通高速,3429939,0.29%
90015,華夏銀行,52234910,0.40%
90016,民生銀行,423619537,1.19%
90017,日照港,37328645,1.21%
90018,上港集團,48054378,0.20%
90019,寶鋼股份,643090095,2.90%
90020,中原高速,7868289,0.35%
90021,上海電力,5013251,0.23%
90023,浙能電力,33804182,0.24%
90025,華能水電,4958400,0.27%
90026,中遠海能,4580174,0.16%
90027,華電國際,27929812,0.41%
90028,中國石化,766399341,0.80%
90029,南方航空,56404533,0.80%
90030,中信證券,182676476,1.86%
90031,三一重工,221533489,2.87%
90033,福建高速,5717745,0.20%
90036,招商銀行,440157514,2.13%
90037,歌華有線,2791364,0.23%
90038,中直股份,4476301,0.75%
90039,四川路橋,9581600,0.31%
90048,保利地產,162652158,1.38%
90050,中國聯通,159944198,0.75%
90053,九鼎投資,595723,0.13%
90054,黃山旅遊,2910694,0.56%
90056,中國醫藥,6223906,0.61%
90058,五礦發展,134647,0.01%
90059,古越龍山,623048,0.07%
90060,海信電器,10628854,0.81%
90061,國投資本,5709931,0.15%
90062,華潤雙鶴,15097636,2.20%
90063,皖維高新,1736933,0.09%
90064,南京高科,1381708,0.11%
90066,宇通客車,309857005,16.27%
90067,冠城大通,1183183,0.07%
90068,葛洲壩,29566553,0.64%
90072,中船科技,252758,0.04%
90073,上海梅林,2877740,0.30%
90074,*ST保千,294738,0.02%
90075,新疆天業,750412,0.09%
90077,宋都股份,29170,0.00%
90078,澄星股份,7123,0.00%
90079,人福醫藥,22350411,1.73%
90080,金花股份,12642,0.00%
90081,東風科技,530063,0.16%
90085,同仁堂,5614335,0.40%
90086,東方金鈺,159992,0.01%
90088,中視傳媒,224807,0.05%
90089,特變電工,24085378,0.64%
90093,易見股份,218365,0.01%
90094,大名城,6652321,0.29%
90096,雲天化,203761,0.01%
90098,廣州發展,1233223,0.04%
90100,同方股份,14249650,0.48%
90101,明星電力,86251,0.02%
90104,上汽集團,342352353,2.97%
90105,永鼎股份,633476,0.06%
90106,重慶路橋,1534781,0.13%
90108,亞盛集團,2161148,0.11%
90109,國金證券,21694654,0.71%
90110,諾德股份,11620,0.00%
90111,北方稀土,24152344,0.66%
90112,天成控股,229309,0.04%
90113,浙江東日,74434,0.02%
90114,東睦股份,15436362,2.43%
90115,東方航空,43334697,0.44%
90116,三峽水利,2855491,0.28%
90118,中國衛星,7743467,0.65%
90119,長江投資,770117,0.25%
90120,浙江東方,136884,0.02%
90121,鄭州煤電,100,0.00%
90122,宏圖高科,4205309,0.36%
90123,蘭花科創,4407100,0.38%
90125,鐵龍物流,38131703,2.92%
90132,重慶啤酒,5699,0.00%
90135,樂凱膠片,226980,0.06%
90138,中青旅,37830265,5.22%
90141,興發集團,6175301,1.02%
90143,金發科技,5377376,0.21%
90150,*ST船舶,957827,0.06%
90153,建發股份,26252313,0.92%
90155,華創陽安,1888027,0.16%
90157,永泰能源,14056276,0.11%
90158,中體產業,3088250,0.46%
90160,巨化股份,5274071,0.19%
90161,天壇生物,1371457,0.15%
90162,香江控股,7100339,0.29%
90166,福田汽車,8825548,0.13%
90167,聯美控股,265967,0.03%
90168,武漢控股,403337,0.05%
90169,太原重工,2649945,0.10%
90170,上海建工,18340423,0.21%
90171,上海貝嶺,1150829,0.17%
90172,黃河旋風,6248561,0.53%
90173,臥龍地產,899584,0.12%
90175,美都能源,26134845,1.06%
90176,中國巨石,194518145,5.55%
90177,雅戈爾,31892829,0.89%
90180,瑞茂通,3321072,0.32%
90183,生益科技,23728138,1.12%
90185,格力地產,7017339,0.34%
90188,兗州煤業,6634996,0.22%
90190,錦州港,1217224,0.06%
90195,中牧股份,644121,0.10%
90196,復星醫藥,24052493,1.25%
90197,伊力特,1481132,0.33%
90200,江蘇吳中,2258270,0.31%
90201,生物股份,29458144,2.59%
90206,有研新材,1762933,0.21%
90208,新湖中寶,39361798,0.45%
90210,紫江企業,3099511,0.20%
90216,浙江醫藥,18204008,1.92%
90218,全柴動力,101,0.00%
90219,南山鋁業,88870995,1.25%
90221,海航控股,17229749,0.10%
90226,瀚葉股份,1009459,0.05%
90230,滄州大化,203343,0.04%
90231,凌鋼股份,487276,0.02%
90233,圓通速遞,2454663,0.31%
90236,桂冠電力,14454699,0.40%
90238,*ST椰島,1600,0.00%
90239,雲南城投,2842451,0.17%
90240,華業資本,4293160,0.30%
90246,萬通地產,3300,0.00%
90248,延長化建,4471,0.00%
90251,冠農股份,906141,0.11%
90252,中恆集團,6051558,0.17%
90255,夢舟股份,4194883,0.23%
90256,廣彙能源,3642979,0.05%
90257,大湖股份,345607,0.08%
90258,首旅酒店,62865978,10.06%
90259,廣晟有色,309606,0.11%
90260,凱樂科技,4041368,0.64%
90261,陽光照明,2607011,0.17%
90266,北京城建,6960110,0.44%
90267,海正藥業,2778280,0.28%
90268,國電南自,62301,0.00%
90269,贛粵高速,11337555,0.48%
90270,外運發展,6017225,0.66%
90271,航天信息,17143127,0.92%
90273,嘉化能源,19021909,1.29%
90276,恆瑞醫藥,533194643,14.56%
90277,億利潔能,4948828,0.18%
90278,東方創業,193422,0.03%
90280,中央商場,1279906,0.11%
90282,南鋼股份,79331,0.00%
90284,浦東建設,10408303,1.07%
90285,羚銳製藥,3764984,0.70%
90289,*ST信通,119471,0.02%
90290,華儀電氣,293737,0.05%
90291,西水股份,1862883,0.19%
90292,遠達環保,1005605,0.12%
90295,鄂爾多斯,1959851,0.32%
90297,廣匯汽車,24272499,0.33%
90298,安琪酵母,75902162,9.21%
90299,安迪蘇,1555695,0.27%
90300,維維股份,1511400,0.09%
90305,恆順醋業,5824574,0.74%
90307,酒鋼宏興,1979808,0.03%
90309,萬華化學,45616875,1.66%
90310,桂東電力,4240267,0.51%
90312,平高電氣,2319842,0.17%
90315,上海家化,9462246,1.40%
90316,洪都航空,356978,0.04%
90317,營口港,321233,0.00%
90318,新力金融,62786,0.01%
90321,*ST正源,226801,0.01%
90323,瀚藍環境,21705240,2.83%
90325,華發股份,12110807,0.63%
90326,西藏天路,398496,0.04%
90327,大東方,1638359,0.22%
90329,中新藥業,4725456,0.83%
90332,白雲山,9074484,0.84%
90333,長春燃氣,5900,0.00%
90335,國機汽車,1018936,0.09%
90337,美克家居,1213024,0.08%
90338,西藏珠峰,664527,0.41%
90340,華夏幸福,19355383,0.65%
90343,航天動力,1359342,0.21%
90345,長江通信,738000,0.37%
90346,恆力股份,4231111,0.46%
90348,陽泉煤業,29058672,1.20%
90350,山東高速,19374533,0.40%
90351,亞寶藥業,807541,0.11%
