报告期日期,18-03-31,17-12-31,17-09-30,17-06-30,17-03-31,16-12-31,16-09-30,16-06-30,16-03-31,15-12-31,15-09-30,15-06-30,15-03-31,14-12-31,14-09-30,14-06-30,14-03-31,13-12-31,13-09-30,13-06-30
商誉(元),1183543994.60,1182600197.11,1171700747.07,1057833668.63,652435825.52,652435825.52,648275725.52,648275725.52,648275725.52,648275725.52,553086820.66,638086820.66,638086820.66,638086820.66,643310752.78,643310752.78,628499227.62,395834749.73,395834749.73,395834749.73
长期待摊费用(元),3937051.63,3970725.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
递延所得税资产(元),60701828.89,60612407.72,53587129.84,53684281.26,54658871.45,55384450.93,61759138.21,61864468.69,57969931.29,58941908.57,34222116.25,36059186.21,33209167.19,33306946.67,23884574.14,23933463.88,24365640.41,21301451.43,14414646.30,15036935.07
其他非流动资产(元),15861008.81,20861008.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
非流动资产合计(元),5766297001.55,5659050868.25,4617394357.49,4177055162.05,3545659944.47,3458076429.07,3532144193.74,3494753655.14,3569537173.23,3505926136.44,3263020357.51,3529391477.88,3484097169.90,3452760769.86,3613493298.93,3370581143.05,3478418369.21,3070952921.63,2876651253.28,2836929185.58
资产总计(元),12812837546.18,12250757677.81,10781214235.52,9543466461.34,8743126451.77,8429444340.84,8239036620.59,8176339668.52,8216775781.25,8420571945.29,7947707052.70,7652339788.94,7748131624.47,7576768423.12,7740562662.01,7652564922.08,7430484754.71,6426502892.06,5886929560.88,5600753354.12
流动负债：,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
短期借款(元),1618851587.57,1307512404.59,1531276816.13,1305237990.00,980281731.66,753456441.42,591221393.51,645481956.31,505952843.93,353755304.37,600925654.37,695424500.00,665662450.00,806634400.00,639899920.00,500252120.00,360419942.35,102995000.00,12283000.00,0.00
交易性金融负债(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
应付票据(元),577548855.91,687423141.00,608480131.00,376452527.20,367937652.14,380391987.54,445695589.39,418178980.35,325954153.57,430184109.88,230133965.62,256181838.52,327549408.46,373808839.79,451846021.43,388218710.46,184312797.26,168815650.00,173560529.00,156192089.00
应付账款(元),1412917630.92,1380565520.15,1544590290.93,1508936290.49,1503828362.09,1497125346.21,1226696442.42,1183483858.40,1329576221.73,1377248393.38,982218346.29,943710018.86,902664847.83,850526171.84,909058583.75,940474003.48,1013651116.33,1012607296.15,798284881.63,803529930.27
预收款项(元),725331798.86,595790840.06,617009558.43,578563868.45,631032780.53,574864380.96,679370038.78,554414767.33,559968120.50,681508078.97,472857805.93,391265494.23,625862858.22,569550679.36,735382856.73,813835728.57,926692868.87,669666749.51,601279576.20,512082173.63
应付职工薪酬(元),22883806.24,76090685.59,61029779.54,36509495.24,23628118.49,73887702.95,40457557.10,28394291.69,25323795.19,73978245.48,58957974.99,22052786.72,24742806.19,67520396.22,61429843.07,51839431.95,26887921.74,71984084.42,35399097.15,21169245.17
应交税费(元),93450489.28,107451470.69,96768324.24,102199409.78,105147131.81,99263839.61,127477586.36,105247900.01,111788315.83,125484813.02,140354133.21,84133540.60,65487579.02,46251912.44,63648177.73,49716076.66,57279635.40,64528426.37,32464016.17,33724437.55
应付利息(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
应付股利(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
其他应付款(元),266318035.07,352162270.36,291404805.17,286843844.90,39246141.23,52192220.91,44971979.47,133191965.11,49313025.69,87811359.23,42160986.79,36486164.49,28932667.56,33835598.11,42612024.47,44392282.97,37402113.55,23032613.25,81968668.59,83736187.40
