,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601869,长飞光纤,1.86,77.14,7.68,26.99,2.55,126835.32,76.87,,07-02
1,000693,*ST华泽,-4.21,521.86,,,,-228779.52,465.94,,06-29
2,000939,*ST凯迪,-0.61,-377.27,,-22.3,,-238051.26,-813.74,,06-29
3,002932,明德生物,1.31,9.17,4.82,31.51,0.93,6549.26,9.72,,06-27
4,600399,*ST抚钢,-1.03,-1303.27,,,,-133758.53,-1302.46,,06-26
5,603713,密尔克卫,0.73,45.13,6.32,12.47,1.25,8369.16,49.37,,06-25
6,000409,*ST地矿,-0.44,7.47,,-27.29,,-22484.18,16.16,,06-22
7,603706,东方环宇,0.8,-32.77,4.45,18.83,1.4,9657.33,-32.45,,06-19
8,603105,芯能科技,0.28,40.0,2.47,12.12,0.45,11638.35,49.76,,06-19
9,603693,江苏新能,0.62,6.9,6.56,9.85,1.47,31177.07,6.68,,06-12
10,300216,千山药机,-0.9,-257.89,,-38.52,,-32408.91,-257.48,,06-09
11,603650,彤程新材,0.6,15.38,2.22,27.99,,31487.09,19.84,,06-06
12,300747,锐科激光,2.89,210.75,5.36,70.45,2.12,27717.56,211.31,,06-05
13,603587,地素时尚,1.41,-8.44,3.92,43.98,1.65,48006.37,-8.09,,06-04
14,603666,亿嘉和,2.64,147.04,5.89,51.41,0.45,13899.32,153.37,,05-29
15,300750,宁德时代,2.01,7.19,12.63,18.99,1.2,387795.49,35.98,,05-22
16,601330,绿色动力,0.2,-9.09,2.14,9.55,-0.21,20647.74,-10.61,,05-21
17,603045,福达合金,0.74,18.36,,11.41,0.73,5475.8,18.35,,05-16
18,601138,工业富联,0.95,,1.59,18.87,0.48,1586760.7,10.45,,05-14
19,603486,科沃斯,1.04,395.24,3.49,35.2,1.35,37566.29,636.48,,05-08
20,300746,汉嘉设计,0.38,26.67,3.79,10.64,0.37,6048.53,26.85,,05-08
21,600175,美都能源,0.02,-67.27,,0.54,,5788.91,-61.18,,05-03
22,600680,*ST上普,-0.92,-25.83,,-64.82,,-35012.77,-25.84,,05-03
23,300745,欣锐科技,1.07,-30.97,8.15,13.98,1.65,9149.68,-27.56,,05-03
24,300156,神雾环保,0.36,-48.57,,13.36,,36104.82,-48.84,,04-28
25,603203,快克股份,1.1,-24.66,,19.62,,13164.82,27.57,,04-28
26,600983,惠而浦,-0.13,-126.53,,-2.44,,-9697.57,-126.05,10派0.5,04-28
27,600241,时代万恒,0.09,-125.71,,3.07,,1950.28,-124.8,10派0.2,04-28
28,000893,*ST东凌,-3.15,-10610.67,,-76.86,,-238666.1,-12326.18,,04-28
29,300269,联建光电,0.15,-78.5,,2.05,,10428.58,-74.12,,04-28
30,002573,清新环境,0.61,-13.06,,16.74,,65165.79,-12.44,,04-28
31,600356,恒丰纸业,0.33,3.13,,4.8,,9773.06,3.23,10派0.99,04-28
32,000998,隆平高科,0.61,48.78,,13.1,,77177.2,54.0,10派1,04-28
33,600759,洲际油气,-0.1,-626.84,,-4.22,,-22647.63,-625.38,,04-28
34,300043,星辉娱乐,0.18,-51.35,,9.31,,23003.4,-49.78,,04-28
35,000679,大连友谊,0.04,-90.25,,0.95,,1305.62,-90.24,,04-28
36,600850,华东电脑,0.69,4.3,,14.6,,28861.01,4.93,10派2.2,04-28
37,603861,白云电器,0.38,-6.93,,7.92,,15495.31,-4.06,10派0.88,04-28
38,600509,天富能源,0.19,-45.71,,3.61,,17877.8,-42.81,10派0.47,04-28
39,600515,海航基础,0.51,-16.38,,5.87,,199325.57,107.68,,04-28
40,600193,*ST创兴,-0.18,-40.0,,-35.6,,-7822.08,-38.85,,04-28
41,603998,方盛制药,0.14,-12.5,,6.24,,5968.04,-14.44,,04-28
42,600988,赤峰黄金,0.19,-57.78,,10.51,,27435.67,-14.6,,04-28
43,002513,蓝丰生化,0.1,-68.75,,1.39,,3544.68,-66.93,,04-28
44,000426,兴业矿业,0.3,432.39,,11.03,,56498.53,531.56,10派0.2,04-28
45,000982,*ST中绒,0.03,-104.53,,2.53,,4796.22,-104.52,,04-28
46,601700,风范股份,0.12,-33.33,,4.59,,13765.59,-33.87,,04-28
47,600747,ST大控,0.02,-130.0,,1.59,,3119.59,-131.68,,04-28
48,000596,古井贡酒,2.28,38.18,,19.09,,114874.06,38.46,10派10,04-28
49,600145,*ST新亿,0.01,-445.0,,1.65,,1023.51,-421.66,,04-28
50,600894,广日股份,0.46,-62.7,,5.84,,39844.94,-62.7,10派1.4,04-28
51,600559,老白干酒,0.37,48.0,,9.84,,16352.33,47.53,10派2转4,04-28
52,600594,益佰制药,0.49,0.62,,9.48,,38752.98,0.69,10派0.5,04-28
53,600612,老凤祥,2.17,7.44,,21.13,,113619.6,7.44,10派10.5,04-28
54,600255,梦舟股份,0.09,-18.18,,4.43,,15043.04,-21.56,10派0.02,04-28
55,600291,西水股份,2.19,6344.71,,22.01,,239508.76,6553.82,10派0.3,04-28
56,600686,金龙汽车,0.75,-163.56,,13.74,,47886.52,-166.64,10派1,04-28
57,603519,立霸股份,0.52,15.23,,11.9,,8348.43,15.08,,04-28
58,000539,粤电力A,0.14,-22.22,,3.16,,74318.04,-20.65,10派0.8,04-28
59,000558,莱茵体育,0.02,-26.33,,2.18,,2850.21,13.14,,04-28
60,601021,春秋航空,1.58,32.77,,16.0,,126158.15,32.73,,04-28
61,600654,ST中安,-0.57,-371.43,,-28.94,,-73503.08,-368.16,,04-28
62,600000,浦发银行,1.84,-23.46,13.47,14.45,-4.79,5425800.0,2.18,10派1,04-28
63,000595,宝塔实业,0.02,-118.18,,2.76,,1874.25,-122.2,,04-28
64,600421,ST仰帆,-0.04,-300.0,,-180.36,,-839.66,-361.57,,04-28
65,600818,中路股份,0.1,-64.29,,4.96,,3127.48,-65.39,,04-28
66,600496,精工钢构,0.04,-43.31,,1.6,,6202.21,-43.4,,04-28
67,600157,永泰能源,0.05,-13.7,,2.51,,60234.59,-9.97,,04-28
68,600587,新华医疗,0.16,77.78,,2.0,,6552.87,89.19,10派0.5,04-28
69,002496,辉丰股份,0.27,125.0,,11.32,,40808.14,133.99,,04-28
70,000820,神雾节能,0.55,-26.67,,38.42,,34808.85,4.44,,04-28
71,600622,光大嘉宝,0.61,38.01,,10.34,,54535.79,84.4,10派2.1转3,04-28
72,600247,*ST成城,-0.21,-66.93,,-180.98,,-7093.38,-66.93,,04-28
73,600642,申能股份,0.38,-29.39,,6.82,,173763.9,-29.39,10派2,04-28
74,600661,新南洋,0.45,-36.06,,9.74,,12311.58,-32.67,,04-28
75,002577,雷柏科技,0.07,16.67,,1.61,,1887.57,5.24,,04-28
76,000425,徐工机械,0.14,366.67,,4.7,,102061.77,389.31,10派0.4,04-28
77,600339,中油工程,0.12,-56.39,,3.0,,67000.59,-47.96,10派0.37,04-28
78,603616,韩建河山,-0.2,-552.13,,-7.28,,-5930.16,-552.11,,04-28
79,002004,华邦健康,0.25,-10.71,,5.35,,50790.56,-10.4,,04-28
80,600055,万东医疗,0.2,9.19,,6.0,,10911.71,52.52,10派0.5,04-28
81,000639,西王食品,0.76,153.33,,15.44,,34327.37,154.63,10派1.08转4,04-28
82,000690,宝新能源,0.05,-84.85,,1.23,,10313.77,-84.71,10派0.3,04-28
83,000729,燕京啤酒,0.06,-48.65,,1.26,,16134.82,-48.3,10派0.2,04-28
84,002132,恒星科技,0.05,-50.0,,2.02,,5659.13,-46.49,,04-28
85,600936,广西广电,0.12,-40.0,,5.68,,20174.17,-32.99,,04-28
86,000004,国农科技,0.1,-78.21,,6.85,,856.67,-78.2,,04-28
87,000806,银河生物,0.01,-20.51,,0.49,,1022.76,-20.55,,04-28
88,002180,纳思达,0.94,1440.46,,41.31,,94941.6,1454.51,,04-28
89,002501,利源精制,0.44,-24.14,,6.94,,52315.07,-4.93,,04-28
90,600234,ST山水,-0.13,-285.71,,-30.4,,-2548.33,-278.58,,04-28
91,600629,华建集团,0.62,-7.85,,12.48,,25641.12,6.22,10派1.5,04-28
92,000858,五粮液,2.55,42.59,,19.38,,967372.15,42.58,10派13,04-28
93,000066,中国长城,0.2,716.0,,9.12,,58104.33,1652.89,10派0.6,04-28
94,600666,奥瑞德,0.04,-93.44,,2.1,,5505.49,-88.17,,04-28
95,601519,大智慧,0.19,-121.81,,33.57,,38292.46,-121.76,,04-28
96,600348,阳泉煤业,0.68,277.78,,11.49,,163756.81,281.67,10派2.05,04-28
97,600751,海航科技,0.28,152.48,,6.28,,82057.4,155.23,,04-28
98,600390,五矿资本,0.71,-79.42,,8.54,,247664.5,59.06,,04-28
99,000627,天茂集团,0.3,-31.82,,9.13,,132616.42,-25.44,10派0.1,04-28
100,600811,东方集团,0.21,-35.87,,3.9,,76903.03,0.89,10派0.21,04-28
101,300090,盛运环保,-1.0,-1207.32,,-29.45,,-131840.11,-1207.14,,04-28
102,002699,美盛文化,0.21,-48.78,,5.51,,19078.53,0.44,,04-28
103,603958,哈森股份,0.08,-80.24,,1.58,,1817.14,-77.42,,04-28
104,600186,莲花健康,-0.1,-266.67,,-120.47,,-10343.27,-258.52,,04-28
105,000009,中国宝安,0.06,-45.45,,2.88,,13320.38,-42.93,10派0.2,04-28
106,002506,协鑫集成,0.01,-150.0,,0.57,,2385.31,-188.63,,04-28
107,002201,九鼎新材,-0.01,-150.0,,-0.36,,-318.5,-166.47,,04-28
108,603358,华达科技,1.41,-41.74,,9.51,,22611.18,-22.27,,04-28
109,600653,申华控股,-0.29,-935.61,,-27.21,,-57079.42,-957.01,,04-28
110,600674,川投能源,0.74,-7.16,,15.34,,326473.53,-7.16,10派2.75,04-28
111,601228,广州港,0.12,0.0,,6.11,,69705.47,3.9,,04-28
112,000504,南华生物,-0.12,-271.43,,,,-3711.94,-270.62,,04-28
113,300331,苏大维格,0.36,111.41,,5.98,,8124.43,156.78,,04-28
114,000996,中国中期,0.09,-1.46,,4.79,,3029.21,47.82,,04-28
115,601799,星宇股份,1.7,22.48,,12.09,,46997.58,34.32,,04-28
116,002640,跨境通,0.52,79.31,,16.62,,75099.37,90.72,,04-28
117,000593,大通燃气,0.07,-139.64,,2.16,,2410.77,-143.77,,04-28
118,002046,轴研科技,0.04,-11.5,,0.77,,1637.4,30.18,,04-28
119,600834,申通地铁,0.11,-0.52,,3.56,,5167.02,-0.52,10派0.35,04-28
120,000009,中国宝安,0.06,-45.45,,2.88,,13320.38,-42.93,10派0.2,04-28
121,002506,协鑫集成,0.01,-150.0,,0.57,,2385.31,-188.63,,04-28
122,002201,九鼎新材,-0.01,-150.0,,-0.36,,-318.5,-166.47,,04-28
123,603358,华达科技,1.41,-41.74,,9.51,,22611.18,-22.27,,04-28
124,600653,申华控股,-0.29,-935.61,,-27.21,,-57079.42,-957.01,,04-28
125,600674,川投能源,0.74,-7.16,,15.34,,326473.53,-7.16,10派2.75,04-28
126,601228,广州港,0.12,0.0,,6.11,,69705.47,3.9,,04-28
127,000504,南华生物,-0.12,-271.43,,,,-3711.94,-270.62,,04-28
128,300331,苏大维格,0.36,111.41,,5.98,,8124.43,156.78,,04-28
129,000996,中国中期,0.09,-1.46,,4.79,,3029.21,47.82,,04-28
130,601799,星宇股份,1.7,22.48,,12.09,,46997.58,34.32,,04-28
131,002640,跨境通,0.52,79.31,,16.62,,75099.37,90.72,,04-28
132,000593,大通燃气,0.07,-139.64,,2.16,,2410.77,-143.77,,04-28
133,002046,轴研科技,0.04,-11.5,,0.77,,1637.4,30.18,10派0.1,04-28
134,600834,申通地铁,0.11,-0.52,,3.56,,5167.02,-0.52,10派0.35,04-28
135,600854,春兰股份,0.03,45.92,,0.91,,1763.68,45.89,10派0.2,04-28
136,300482,万孚生物,1.2,46.34,,22.57,,21069.5,45.32,,04-28
137,002447,晨鑫科技,0.19,-38.71,,9.53,,27137.35,-8.22,,04-28
138,600967,内蒙一机,0.31,-3.13,,6.99,,52502.16,5.74,10派0.32,04-28
139,600191,华资实业,0.02,20.0,,0.54,,1194.92,20.22,10派0.1,04-28
140,601006,大秦铁路,0.9,87.5,,13.5,,1334951.61,86.23,,04-28
141,002190,成飞集成,-0.31,-178.45,,-6.21,,-10832.44,-178.66,,04-28
142,600228,ST昌九,0.11,-172.2,,67.49,,2613.07,-170.45,,04-28
143,600641,万业企业,2.11,136.47,,33.22,,169890.6,136.48,10派6.33,04-28
144,000100,TCL集团,0.22,66.01,2.2,10.86,0.68,266439.5,66.3,10派1,04-28
145,601258,庞大集团,0.03,-50.0,,1.62,,21201.93,-44.45,,04-28
146,600302,标准股份,-0.02,-110.62,,-0.52,,-625.67,-110.61,,04-28
147,600401,*ST海润,-0.52,108.33,,-101.96,,-243640.53,106.59,,04-28
148,000599,青岛双星,0.16,14.29,,4.07,,10928.19,14.62,10派0.2,04-28
149,000638,万方发展,0.05,54.9,,6.99,,1616.39,54.82,,04-28
150,600088,中视传媒,0.25,-165.96,,7.8,,8222.02,-165.89,10派0.75转2,04-28
151,002711,欧浦智网,0.2,-41.18,,13.17,,21007.86,-5.44,,04-28
152,000669,金鸿控股,0.49,25.76,,4.23,,23963.12,25.76,10转4,04-28
153,600500,中化国际,0.31,933.33,,5.25,,64804.71,1032.03,10派1,04-28
154,601139,深圳燃气,0.4,14.29,,11.0,0.63,88687.64,14.88,,04-28
155,002581,未名医药,0.59,-7.01,,14.27,,38841.16,-7.01,,04-28
156,600701,*ST工新,0.17,42.89,,4.16,,17885.69,133.56,,04-28
157,000518,四环生物,0.01,65.12,,1.17,,728.84,62.94,,04-28
158,002650,加加食品,0.14,7.69,,7.96,,15928.36,6.12,,04-28
159,000626,远大控股,-0.32,-142.67,,-7.09,,-19263.77,-149.28,,04-28
160,600827,百联股份,0.47,-7.84,,5.08,,84704.8,-5.92,10派1.8,04-28
161,002072,凯瑞德,-0.2,-342.68,,-44.84,,-3510.96,-344.56,,04-28
162,600487,亨通光电,1.63,54.07,,26.88,,210882.78,60.2,10派1.6送4,04-28
163,603858,步长制药,2.4,-16.11,,12.81,,163795.23,-7.43,,04-28
164,600149,ST坊展,0.05,-182.21,,10.51,,2039.47,-182.26,,04-28
165,600543,莫高股份,0.08,33.33,,2.17,,2409.19,18.51,,04-28
166,300169,天晟新材,-0.11,-305.2,,-3.11,,-3732.26,-305.16,,04-28
167,002785,万里石,-0.03,-125.0,,-0.98,,-644.05,-127.9,,04-28
168,600960,渤海汽车,0.25,102.01,,5.43,,23833.45,102.12,10派0.51,04-28
169,600580,卧龙电气,0.52,159.48,,12.31,,66521.95,162.51,10派1,04-28
170,000046,泛海控股,0.56,-7.96,,15.14,,289131.87,-7.0,10派1.5,04-28
171,601108,财通证券,0.45,,,9.14,,150393.16,22.99,,04-28
172,000078,海王生物,0.24,28.82,,11.55,,63637.58,52.1,,04-28
173,600652,游久游戏,-0.51,-464.29,,-21.71,,-42231.46,-459.97,,04-28
174,601666,平煤股份,0.58,82.82,,11.65,,137699.49,82.81,,04-28
175,002618,丹邦科技,0.05,-28.57,,1.51,,2537.36,3.19,,04-28
176,000995,*ST皇台,-1.06,49.3,,,,-18763.03,48.12,,04-28
177,002639,雪人股份,-0.09,-280.0,,-2.63,,-5889.33,-278.17,,04-28
178,000567,海德股份,0.48,2359.9,,28.53,,7326.83,2360.59,,04-28
179,000592,平潭发展,0.0,-70.48,,0.19,,597.11,-70.56,,04-28
180,002333,罗普斯金,-0.08,-127.68,,-2.58,,-3895.69,-127.66,,04-28
181,600393,粤泰股份,0.46,253.85,,21.76,,116785.79,704.63,10派1.4,04-28
182,002654,万润科技,0.16,-11.11,,5.4,,13612.96,-5.01,,04-28
183,600098,广州发展,0.25,1.43,,4.38,,67854.53,1.43,10派1,04-28
184,600491,龙元建设,0.48,71.43,,10.89,,60651.57,74.07,,04-28
185,000701,厦门信达,-0.08,-190.65,,-1.08,,6946.97,-50.3,10派0.31,04-28
186,002124,天邦股份,0.34,-42.37,,10.15,,26214.1,-29.7,,04-28
187,002156,通富微电,0.13,-31.58,,3.07,,12212.94,-32.46,,04-28
188,600189,吉林森工,0.03,-25.0,,0.69,,1198.24,2.28,10派0.2转3,04-28
189,600984,建设机械,0.04,-72.27,,0.71,,2280.91,-72.25,,04-28
190,600208,新湖中宝,0.39,-40.91,,10.84,,332186.52,-43.1,10派0.57,04-28
191,600601,方正科技,-0.37,-1352.84,,-24.08,,-82214.46,-1354.63,,04-28
192,000933,神火股份,0.19,7.61,,6.36,,36809.02,7.58,10派0.25,04-28
193,300049,福瑞股份,0.27,-41.25,,5.16,,7186.69,-40.63,,04-28
194,000597,东北制药,0.25,400.0,,5.01,,11899.53,400.23,,04-28
195,600783,鲁信创投,0.06,-88.0,,1.19,,4315.07,-88.41,10派0.5,04-28
196,000636,风华高科,0.28,75.0,,5.51,,24684.88,77.71,10派0.7,04-28
197,603080,新疆火炬,0.8,-28.57,,17.56,,8525.95,-28.06,,04-28
198,600555,海航创新,0.04,-126.67,,3.58,,5667.71,-129.42,,04-28
199,000755,*ST三维,0.23,-115.72,,17.92,,10610.47,-115.72,,04-28
200,600177,雅戈尔,0.08,-94.7,,1.23,,29673.14,-91.95,10派4,04-28
201,000901,航天科技,0.42,65.9,,4.65,,17028.0,65.9,10转5,04-28
202,000408,藏格控股,0.61,22.0,,18.49,,121437.71,33.18,,04-28
203,300323,华灿光电,0.6,71.66,,13.62,,50210.64,87.92,,04-28
204,600074,*ST保千,-3.17,-1005.71,,,,-773209.08,-1067.13,,04-28
205,600825,新华传媒,0.04,-14.0,,1.72,,4500.99,-7.02,10派0.15,04-28
206,002070,*ST众和,-1.64,2054.21,,,,-104005.67,2053.52,,04-28
207,600485,信威集团,-0.6,-215.38,,-16.31,,-176884.35,-215.84,,04-28
208,000692,惠天热电,-0.13,-226.65,,-0.85,,-6659.71,-226.6,,04-28
209,300135,宝利国际,0.04,36.67,,3.15,,3751.77,37.72,,04-28
210,600895,张江高科,0.3,-36.17,,5.61,0.17,46754.37,-35.65,10派1,04-28
211,600978,宜华生活,0.51,6.25,,9.84,,75277.32,6.11,,04-28
212,603232,格尔软件,1.26,2.44,,14.83,,7024.56,24.6,,04-28
213,600613,神奇制药,0.24,-29.41,,5.35,,12960.13,-28.81,10派0.3,04-28
214,002552,*ST宝鼎,-0.45,-19.64,,-21.03,,-13505.86,-19.05,,04-28
215,000501,鄂武商A,1.66,-7.26,,18.7,,124133.98,25.18,10派0.8,04-28
216,002600,领益智造,0.6,172.73,,23.87,,140476.95,500.15,,04-28
217,603603,博天环境,0.51,27.5,,17.09,,20208.41,40.59,,04-28
218,600351,亚宝药业,0.25,789.51,,7.37,,20020.64,788.94,10派1,04-28
219,603633,徕木股份,0.41,-22.64,,7.21,,4936.05,-0.37,,04-28
220,600759,洲际油气,-0.1,-626.84,,-4.22,,-22647.63,-625.38,,04-28
221,300043,星辉娱乐,0.18,-51.35,,9.31,,23003.4,-49.78,,04-28
222,000679,大连友谊,0.04,-90.25,,0.95,,1305.62,-90.24,,04-28
223,600850,华东电脑,0.69,4.3,,14.6,,28861.01,4.93,10派2.2,04-28
224,603861,白云电器,0.38,-6.93,,7.92,,15495.31,-4.06,,04-28
225,600509,天富能源,0.19,-45.71,,3.61,,17877.8,-42.81,10派0.47,04-28
226,300156,神雾环保,0.36,-48.57,,13.36,,36104.82,-48.84,,04-28
227,603203,快克股份,1.1,-24.66,,19.62,,13164.82,27.57,,04-28
228,600983,惠而浦,-0.13,-126.53,,-2.44,,-9697.57,-126.05,,04-28
229,600241,时代万恒,0.09,-125.71,,3.07,,1950.28,-124.8,10派0.2,04-28
230,000893,*ST东凌,-3.15,-10610.67,,-76.86,,-238666.1,-12326.18,,04-28
231,300269,联建光电,0.15,-78.5,,2.05,,10428.58,-74.12,,04-28
232,002573,清新环境,0.61,-13.06,,16.74,,65165.79,-12.44,,04-28
233,600356,恒丰纸业,0.33,3.13,,4.8,,9773.06,3.23,10派0.99,04-28
234,000998,隆平高科,0.61,48.78,,13.1,,77177.2,54.0,10派1,04-28
235,000596,古井贡酒,2.28,38.18,,19.09,,114874.06,38.46,10派10,04-28
236,600515,海航基础,0.51,-16.38,,5.87,,199325.57,107.68,,04-28
237,600193,*ST创兴,-0.18,-40.0,,-35.6,,-7822.08,-38.85,,04-28
238,603998,方盛制药,0.14,-12.5,,6.24,,5968.04,-14.44,,04-28
239,600988,赤峰黄金,0.19,-57.78,,10.51,,27435.67,-14.6,,04-28
240,002552,*ST宝鼎,-0.45,-19.64,,-21.03,,-13505.86,-19.05,,04-28
241,000501,鄂武商A,1.66,-7.26,,18.7,,124133.98,25.18,10派0.8,04-28
242,002600,领益智造,0.6,172.73,,23.87,,140476.95,500.15,,04-28
243,603603,博天环境,0.51,27.5,,17.09,,20208.41,40.59,,04-28
244,600351,亚宝药业,0.25,789.51,,7.37,,20020.64,788.94,10派1,04-28
245,603633,徕木股份,0.41,-22.64,,7.21,,4936.05,-0.37,,04-28
246,000679,大连友谊,0.04,-90.25,,0.95,,1305.62,-90.24,,04-28
247,600850,华东电脑,0.69,4.3,,14.6,,28861.01,4.93,10派2.2,04-28
248,603861,白云电器,0.38,-6.93,,7.92,,15495.31,-4.06,10派0.88,04-28
249,600509,天富能源,0.19,-45.71,,3.61,,17877.8,-42.81,10派0.47,04-28
250,300156,神雾环保,0.36,-48.57,,13.36,,36104.82,-48.84,,04-28
251,603203,快克股份,1.1,-24.66,,19.62,,13164.82,27.57,,04-28
252,600983,惠而浦,-0.13,-126.53,,-2.44,,-9697.57,-126.05,10派0.5,04-28
253,600241,时代万恒,0.09,-125.71,,3.07,,1950.28,-124.8,10派0.2,04-28
254,000893,*ST东凌,-3.15,-10610.67,,-76.86,,-238666.1,-12326.18,,04-28
255,300269,联建光电,0.15,-78.5,,2.05,,10428.58,-74.12,,04-28
256,002573,清新环境,0.61,-13.06,,16.74,,65165.79,-12.44,,04-28
257,600356,恒丰纸业,0.33,3.13,,4.8,,9773.06,3.23,10派0.99,04-28
258,000998,隆平高科,0.61,48.78,,13.1,,77177.2,54.0,10派1,04-28
259,600759,洲际油气,-0.1,-626.84,,-4.22,,-22647.63,-625.38,,04-28
260,300043,星辉娱乐,0.18,-51.35,,9.31,,23003.4,-49.78,,04-28
261,000707,*ST双环,-1.61,18.81,,-144.45,,-74625.84,18.82,,04-27
262,002776,柏堡龙,0.54,-1.82,,6.08,,12930.73,9.24,,04-27
263,000036,华联控股,1.18,-0.25,,34.54,,134312.51,-0.4,10派5,04-27
264,000061,农产品,0.01,-84.26,,0.29,,1389.21,-84.3,10派0.5,04-27
265,600285,羚锐制药,0.37,-38.83,,10.18,,21711.22,-37.21,10派1.5,04-27
266,300306,远方信息,0.45,25.0,,6.73,,12834.93,47.3,,04-27
267,002642,荣之联,-0.32,-183.59,,-5.35,,-20208.23,-184.16,,04-27
268,000571,新大洲A,0.03,-34.9,,0.97,,2139.25,-34.88,,04-27
269,002679,福建金森,0.4,122.22,,7.3,,5549.05,117.05,,04-27
270,002133,广宇集团,0.25,25.0,,6.6,,18997.88,25.48,10派0.8,04-27
271,603159,上海亚虹,0.45,-10.0,,11.64,,4490.02,8.29,,04-27
272,600939,重庆建工,0.2,11.11,,6.79,,36320.34,23.27,10派0.62,04-27
273,603980,吉华集团,0.88,-7.64,,13.22,,39741.15,3.96,,04-27
274,600977,中国电影,0.52,-12.37,,9.55,,96528.32,5.21,,04-27
275,000042,中洲控股,0.93,133.8,,10.01,,61536.32,136.19,10派2,04-27
276,002599,盛通股份,0.29,7.41,,6.7,,9254.44,153.55,10派0.5,04-27
277,002005,德豪润达,-0.67,-3035.68,,-18.69,,-97139.73,-3162.42,,04-27
278,600405,动力源,0.04,-35.48,,1.8,,1999.26,-26.4,,04-27
279,000601,韶能股份,0.41,0.61,,10.22,,44575.39,1.18,10派2.2,04-27
280,002684,猛狮科技,-0.24,-182.76,,-5.01,,-13414.51,-242.74,,04-27
281,600489,中金黄金,0.08,-27.27,,2.18,,29126.55,-19.62,10派0.3,04-27
282,600151,航天机电,-0.22,-242.62,,-5.23,,-30910.33,-254.2,,04-27
283,000010,美丽生态,-1.29,-2763.99,,-63.0,,-106142.69,-2761.74,,04-27
284,601001,大同煤业,0.36,227.27,,11.33,,59917.05,222.63,,04-27
285,000892,欢瑞世纪,0.43,-30.65,,14.51,,42207.16,59.23,,04-27
286,002234,民和股份,-0.96,-288.24,,-32.82,,-29055.1,-288.93,,04-27
287,603389,亚振家居,0.28,-39.13,,7.05,,6105.35,-19.16,,04-27
288,600691,阳煤化工,0.07,-112.77,,3.09,,11613.83,-112.78,,04-27
289,002604,*ST龙力,-5.81,-2789.81,,,,-348332.89,-3065.21,,04-27
290,002063,远光软件,0.29,29.74,,9.15,,17227.26,31.13,10派0.5送2转2,04-27
291,002384,东山精密,0.54,217.65,,9.35,,52619.36,264.88,,04-27
292,603041,美思德,0.54,-40.66,,8.18,,5057.43,-25.91,10派1.6,04-27
293,002095,生意宝,0.08,60.0,,2.32,,1916.9,51.9,10派0.5,04-27
294,002432,九安医疗,-0.38,-1050.0,,-11.4,,-16586.12,-1244.03,,04-27
295,603136,天目湖,1.3,13.04,,19.02,,8447.48,21.92,,04-27
296,300176,鸿特科技,4.58,880.15,,56.29,,49115.52,880.12,,04-27
297,002792,通宇通讯,0.49,-48.96,,5.92,,11054.39,-47.12,,04-27
298,002810,山东赫达,0.48,-20.54,,7.11,,4632.25,-3.86,,04-27
299,002175,东方网络,-0.36,-535.75,,-21.51,,-27199.97,-544.66,,04-27
300,600354,敦煌种业,0.05,-110.08,,2.82,,2560.56,-110.08,,04-27
301,000587,金洲慈航,0.48,-51.02,,11.41,,102156.64,-1.52,,04-27
302,601949,中国出版,0.34,-16.0,,10.98,,53065.22,-8.66,,04-27
303,600035,楚天高速,0.34,25.93,,10.31,,57570.26,47.44,10派1.3,04-27
304,603035,常熟汽饰,0.81,-25.0,,10.52,,22759.4,0.57,,04-27
305,600847,万里股份,0.1,-135.71,,2.3,,1557.52,-136.48,,04-27
306,002791,坚朗五金,0.59,-52.8,,7.5,,19109.72,-24.52,,04-27
307,000839,中信国安,0.07,12.78,,3.87,,25937.13,12.67,10派0.5,04-27
308,600246,万通地产,0.17,145.61,,5.26,,35614.23,222.87,10派0.27,04-27
309,603366,日出东方,0.07,-77.53,,1.47,,5476.88,-77.54,,04-27
310,601198,东兴证券,0.48,-9.87,,6.98,,130924.96,-3.23,,04-27
311,601388,怡球资源,0.16,1500.0,,13.78,,32293.19,1149.33,,04-27
312,002592,八菱科技,0.48,6.67,,6.44,,13504.23,5.16,,04-27
313,603589,口子窖,1.86,41.98,,24.0,,111366.3,42.15,,04-27
314,600745,闻泰科技,0.52,550.0,,9.49,,32938.68,586.49,10派0.2,04-27
315,002319,乐通股份,0.05,1150.0,,2.19,,1064.82,1107.66,,04-27
316,002656,摩登大道,0.31,-138.75,,6.46,,13468.1,-146.94,,04-27
317,603711,香飘飘,0.74,0.0,,19.58,,26776.61,0.63,,04-27
318,002705,新宝股份,0.51,-31.73,,11.92,,40802.39,-5.33,10派3,04-27
319,300111,向日葵,0.02,-33.33,,1.81,,2370.2,-22.65,,04-27
320,002094,青岛金王,1.06,100.0,,19.0,,40293.91,117.41,10派1.2转7,04-27
321,600887,伊利股份,0.99,6.45,,25.22,,600088.49,5.99,10派7,04-27
322,002131,利欧股份,0.12,-67.57,,5.62,,42118.28,-26.24,10派0.11,04-27
323,603286,日盈电子,0.44,-6.38,,10.06,,3373.9,8.59,,04-27
324,000883,湖北能源,0.33,13.99,,8.76,,217320.08,13.84,10派1,04-27
325,000903,云内动力,0.15,-46.79,,5.72,,26479.17,18.27,10派0.45,04-27
326,601212,白银有色,0.04,-12.5,,2.13,,23933.01,-4.85,10派0.11,04-27
327,002260,*ST德奥,-1.94,-9800.0,,,,-51347.82,-10085.72,,04-27
