,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2987,600714,金瑞矿业,0.04,-80.0,,2.05,,1221.59,-78.8,,03-24
2988,601607,上海医药,1.31,10.15,,10.73,,352064.56,10.14,10派3.8,03-24
2989,600009,上海机场,1.91,30.82,,15.53,,368340.85,31.29,10派5.8,03-24
2990,002357,富临运业,0.33,8.79,,9.79,,10319.42,8.79,,03-24
2991,600841,上柴股份,0.14,27.27,,3.42,,12229.05,24.97,10派0.43,03-24
2992,000905,厦门港务,0.2,-48.72,,4.13,,10865.62,-47.41,10派0.2,03-24
2993,600449,宁夏建材,0.71,488.72,,7.72,,33730.5,485.09,,03-24
2994,300256,星星科技,0.1,-55.93,,1.95,,6661.28,-54.39,,03-24
2995,600266,北京城建,0.93,1.09,,7.48,,145610.78,0.87,10派2.8,03-24
2996,000918,嘉凯城,1.1,400.0,,48.82,,198774.96,398.39,,03-24
2997,000550,江铃汽车,0.8,-47.71,,5.51,,69093.82,-47.58,10派3.2,03-24
2998,000576,广东甘化,-0.64,-378.26,,-24.27,,-28305.14,-376.4,,03-24
2999,002372,伟星新材,0.83,-5.68,,28.19,,82128.57,22.45,,03-24
3000,600819,耀皮玻璃,0.05,-79.17,,1.59,,4794.75,-78.76,10派0.16,03-24
3001,000666,经纬纺机,1.7,120.78,,16.59,,120020.51,120.4,,03-24
3002,600836,界龙实业,0.05,-388.24,,3.68,,3228.21,-393.92,10派0.15,03-24
3003,600970,中材国际,0.56,93.1,,13.47,,97692.45,91.04,,03-24
3004,600588,用友网络,0.27,92.86,3.99,6.71,0.99,38908.09,97.11,10派1.5转3,03-24
3005,601158,重庆水务,0.43,95.45,,15.09,,206691.88,93.51,,03-24
3006,002229,鸿博股份,0.02,-47.68,,0.65,,1076.02,-15.14,,03-24
3007,000951,中国重汽,1.34,116.13,,17.14,,89758.07,114.64,,03-24
3008,002202,金风科技,0.84,-22.61,,15.04,,305465.69,1.72,,03-24
3009,600036,招商银行,2.78,13.01,17.69,16.54,-0.22,7015000.0,13.0,10派8.4,03-24
3010,000628,高新发展,0.08,-17.02,,3.29,,2439.72,-16.92,,03-24
3011,002839,张家港行,0.43,2.38,,9.43,,76310.23,10.68,,03-24
3012,002862,实丰文化,0.59,-11.94,,9.59,,4339.88,8.29,,03-24
3013,000513,丽珠集团,8.09,308.59,,51.17,,442868.46,464.63,10派20转3,03-24
3014,600714,金瑞矿业,0.04,-80.0,,2.05,,1221.59,-78.8,,03-24
3015,601607,上海医药,1.31,10.15,,10.73,,352064.56,10.14,10派3.8,03-24
3016,601899,紫金矿业,0.16,77.78,,11.1,,350771.76,90.66,,03-24
3017,601969,海南矿业,0.02,-113.33,,0.94,,4553.84,-115.93,,03-24
3018,600531,豫光金铅,0.27,35.0,,9.28,,29118.54,65.05,10派0.81,03-24
3019,000905,厦门港务,0.2,-48.72,,4.13,,10865.62,-47.41,,03-24
3020,600009,上海机场,1.91,30.82,,15.53,,368340.85,31.29,10派5.8,03-24
3021,002357,富临运业,0.33,8.79,,9.79,,10319.42,8.79,,03-24
3022,600841,上柴股份,0.14,27.27,,3.42,,12229.05,24.97,10派0.43,03-24
3023,300256,星星科技,0.1,-55.93,,1.95,,6661.28,-54.39,,03-24
3024,600266,北京城建,0.93,1.09,,7.48,,145610.78,0.87,10派2.8,03-24
3025,000918,嘉凯城,1.1,400.0,,48.82,,198774.96,398.39,,03-24
3026,000550,江铃汽车,0.8,-47.71,,5.51,,69093.82,-47.58,10派3.2,03-24
3027,600449,宁夏建材,0.71,488.72,,7.72,,33730.5,485.09,,03-24
3028,601099,太平洋,0.02,-83.0,,0.99,,11627.88,-82.59,,03-24
3029,000576,广东甘化,-0.64,-378.26,,-24.27,,-28305.14,-376.4,,03-24
3030,002372,伟星新材,0.83,-5.68,,28.19,,82128.57,22.45,,03-24
3031,600859,王府井,1.17,31.54,,9.33,,90981.83,58.27,10派3.6,03-24
3032,600975,新五丰,0.07,-76.67,,3.7,,4491.2,-77.16,,03-24
3033,600233,圆通速递,0.51,-10.35,,16.56,,144269.33,5.16,10派1.1,03-24
3034,002232,启明信息,0.13,16.35,,5.03,,5317.93,16.32,,03-24
3035,600723,首商股份,0.54,20.49,,9.87,,35622.44,20.42,10派1.8,03-24
3036,000973,佛塑科技,0.11,-15.38,,4.87,,10568.33,-15.89,,03-24
3037,000543,皖能电力,0.07,-86.0,,1.25,,13205.43,-85.15,10派0.1,03-24
3038,603669,灵康药业,0.62,5.08,,13.07,,16100.54,4.6,,03-24
3039,600980,北矿科技,0.28,17.22,,8.0,,4331.84,17.19,,03-24
3040,600265,ST景谷,-0.24,-192.31,,,,-3095.97,-191.84,,03-24
3041,600319,亚星化学,0.08,0.0,,128.84,,2661.46,-0.62,,03-24
3042,600602,云赛智联,0.21,15.64,,7.59,,27749.16,16.73,10派0.61,03-24
3043,002865,钧达股份,0.61,-1.61,,9.09,,6744.26,20.97,,03-24
3044,002882,金龙羽,0.49,44.47,,17.76,,19022.36,61.22,,03-24
3045,600717,天津港,0.49,-34.67,,4.78,,82387.65,-34.8,10派1.48,03-24
3046,600007,中国国贸,0.63,-7.35,,10.16,,63480.67,-7.51,10派3.2,03-24
3047,300007,汉威科技,0.38,22.58,,8.2,,11032.09,21.73,,03-24
3048,600826,兰生股份,0.69,-65.5,,7.9,,28819.25,-65.71,10派2.1,03-24
3049,000401,冀东水泥,0.08,110.26,,1.1,,11038.33,108.72,,03-23
3050,600358,国旅联合,0.06,-119.57,,6.15,,3230.68,-119.81,,03-23
3051,002108,沧州明珠,0.5,-36.72,,18.58,,54528.0,11.89,,03-23
