code,name,valumn,percent
90312,平高電氣,-463900,-0.04000000000000001
90315,上海家化,108322,0.020000000000000018
90316,洪都航空,0,0.0
90317,營口港,0,0.0
90318,新力金融,0,0.0
90321,*ST正源,0,0.0
90323,瀚藍環境,-104739,-0.020000000000000018
90325,華發股份,-440200,-0.030000000000000027
90326,西藏天路,209800,0.030000000000000006
90327,大東方,0,0.0
90329,中新藥業,-1199200,-0.20999999999999996
90332,白雲山,258137,0.030000000000000027
90333,長春燃氣,0,0.0
90335,國機汽車,0,0.0
90337,美克家居,21447,0.0
90338,西藏珠峰,-170939,-0.09999999999999998
90340,華夏幸福,326419,0.010000000000000009
90343,航天動力,153400,0.020000000000000018
90345,長江通信,99200,0.04999999999999999
90346,恆力股份,449043,0.03999999999999998
90348,陽泉煤業,1453198,0.06000000000000005
90350,山東高速,-19100,0.0
90351,亞寶藥業,0,0.0
90352,浙江龍盛,-11697,0.0
90353,旭光股份,0,0.0
90362,江西銅業,236425,0.019999999999999962
90363,聯創光電,-35800,-0.010000000000000009
90366,寧波韻升,-141400,-0.019999999999999962
90369,西南證券,0,0.0
90372,中航電子,-192545,-0.010000000000000009
90373,中文傳媒,49521,0.0
90375,華菱星馬,0,0.0
90376,首開股份,-6000,0.0
90377,寧滬高速,-116800,-0.010000000000000009
90378,天科股份,0,0.0
90380,健康元,149372,0.010000000000000009
90381,青海春天,0,0.0
90382,廣東明珠,0,0.0
90383,金地集團,615715,0.010000000000000009
90386,北巴傳媒,0,0.0
90387,海越股份,98645,0.030000000000000027
90388,龍淨環保,26214,0.0
90389,江山股份,0,0.0
90391,航發科技,-16500,-0.010000000000000009
90392,盛和資源,53960,0.01
90393,粵泰股份,551900,0.05999999999999983
90395,盤江股份,114600,0.0
90396,金山股份,0,0.0
90397,*ST安煤,0,0.0
90398,海瀾之家,424962,0.010000000000000009
90399,*ST撫鋼,0,0.0
90400,紅豆股份,-19630,0.0
90403,大有能源,0,0.0
90405,動力源,0,0.0
90406,國電南瑞,105532,0.0
90409,三友化工,256800,0.009999999999999981
90410,華勝天成,-28766,0.0
90415,小商品城,-663300,-0.010000000000000009
90416,湘電股份,-273100,-0.030000000000000027
90418,江淮汽車,-69608,-0.009999999999999995
90420,現代製藥,30817,0.0
90422,昆藥集團,-101300,-0.010000000000000009
90425,青松建化,0,0.0
90426,華魯恆升,-223763,-0.010000000000000009
90428,中遠海特,97700,0.0
90433,冠豪高新,0,0.0
90435,北方導航,113200,0.009999999999999953
90436,片仔？,62679,0.010000000000000009
90438,通威股份,-1038550,-0.040000000000000036
90439,瑞貝卡,626179,0.05999999999999983
90446,金證股份,-184900,-0.019999999999999962
90449,寧夏建材,0,0.0
90452,涪陵電力,-23820,-0.009999999999999995
90458,時代新材,-20000,0.0
90459,貴研鉑業,-111080,-0.030000000000000027
90460,士蘭微,157900,0.010000000000000009
90466,藍光發展,897095,0.030000000000000027
90467,好當家,0,0.0
90468,百利電氣,0,0.0
90469,風神股份,0,0.0
90470,六國化工,0,0.0
90477,杭蕭鋼構,-229500,-0.020000000000000018
90478,科力遠,0,0.0
90479,千金藥業,0,0.0
